Sprint,Sprint Name,Story ID,Story,Description,Specific Acceptance,Modules,Dependencies
18,Comunidade e colaboração,COM-003,Fork e linhagem,Criar cópia independente com origem e licença.,Fork não mantém acesso ao conteúdo privado do autor.,"community, recipe",COM-001
18,Comunidade e colaboração,COM-004,Colaboração e revisão,Comentar e sugerir alterações contextuais.,Aceite é explícito e histórico permanece auditável.,community,COM-001
18,Comunidade e colaboração,COM-005,Avaliação e moderação,"Avaliar, denunciar e moderar conteúdo.","Abuso, plágio e recurso possuem fluxo auditado.","community, moderation",COM-001
19,Operação comercial e CRM,CRM-001,Clientes e consentimentos,"Gerir organizações, contatos e finalidades.","LGPD, retenção e histórico são auditáveis.","commercial, privacy",Sprint 17
19,Operação comercial e CRM,FCST-001,Previsão de demanda,Projetar demanda e capacidade com confiança.,Previsão não cria OP ou compra sem confirmação.,"commercial, reporting",Histórico suficiente
19,Operação comercial e CRM,INT-008,Portas comerciais,"Integrar fiscal, contábil, POS e e-commerce.",Falha externa não corrompe pedido; regra fiscal não entra no núcleo.,"integration, commercial",Sprint 15
19,Operação comercial e CRM,SAL-001,Produtos e preços,"Relacionar SKU, embalagem, canal, moeda e vigência.","Decimal, moeda e tabela vigente são explícitos.","commercial, packaging",Sprint 13
19,Operação comercial e CRM,SAL-002,Pedidos e reservas,Prometer entrega com estoque e capacidade.,Concorrência não vende estoque duas vezes.,"commercial, inventory, planning",SAL-001
19,Operação comercial e CRM,SAL-003,Portal B2B,Oferecer catálogo e recompra autenticados.,"Preço, limite e disponibilidade são específicos do cliente.","commercial, security",SAL-002
20,Contêineres e distribuição,CON-001,Ciclo do contêiner,"Identificar e acompanhar keg, barril e retornável.",Identidade e máquina de estado são únicas e auditáveis.,"distribution, asset",Sprint 17
20,Contêineres e distribuição,CON-002,Conteúdo e localização,Vincular contêiner ao lote e à posição.,Genealogia e validade permanecem completas.,"distribution, traceability",CON-001
20,Contêineres e distribuição,CON-003,Retorno e manutenção,"Controlar depósito, atraso, avaria, limpeza e baixa.",Todo movimento e baixa possuem justificativa.,"distribution, sanitation",CON-001
20,Contêineres e distribuição,LOG-001,Carga e rota,"Planejar carga, janela e responsável.",Capacidade e separação de deveres são validadas.,"distribution, logistics",Sprint 19
20,Contêineres e distribuição,LOG-002,Entrega e coleta,Registrar ocorrência e prova autorizada.,Repetição é idempotente e dados pessoais são minimizados.,"distribution, logistics",LOG-001
20,Contêineres e distribuição,MOB-001,Aplicação móvel,Ler códigos e operar distribuição offline.,QR não autoriza; conflito e sincronização são explícitos.,"distribution, pwa",Sprint 15
